ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.102,11.440646704616269,-1,478,-1,-1,-1,11.440646704616269,-1,478,-1
185.18.250.75,14.994710240651884,-1,362,-1,-1,-1,14.994710240651884,-1,362,-1
185.18.250.88,13.843740749019675,-1,237,-1,-1,-1,13.843740749019675,-1,237,-1
185.18.250.59,11.181909682962683,-1,412,-1,-1,-1,11.181909682962683,-1,412,-1
185.18.250.219,15.536577453954509,-1,283,-1,-1,-1,15.536577453954509,-1,283,-1
185.18.250.46,7.0090401724128,-1,320,-1,-1,-1,7.0090401724128,-1,320,-1
185.18.250.206,14.449737382740263,-1,405,-1,-1,-1,14.449737382740263,-1,405,-1
185.18.250.200,14.301833985167391,-1,425,-1,-1,-1,14.301833985167391,-1,425,-1
185.18.250.146,12.621059228135778,-1,327,-1,-1,-1,12.621059228135778,-1,327,-1
185.18.250.35,13.636324044382231,-1,279,-1,-1,-1,13.636324044382231,-1,279,-1
185.18.250.19,11.861025432779948,-1,176,-1,-1,-1,11.861025432779948,-1,176,-1
173.245.58.202,12.692789791988277,-1,180,-1,-1,-1,12.692789791988277,-1,180,-1
173.245.59.102,13.356857653665783,-1,165,-1,-1,-1,13.356857653665783,-1,165,-1
154.84.175.138,11.993127697735098,-1,149,-1,-1,-1,11.993127697735098,-1,149,-1
154.84.175.170,10.63214239902527,-1,152,-1,-1,-1,10.63214239902527,-1,152,-1
154.84.175.11,13.279134765605157,-1,160,-1,-1,-1,13.279134765605157,-1,160,-1
154.84.175.23,13.515095145283789,-1,164,-1,-1,-1,13.515095145283789,-1,164,-1
154.84.175.99,14.883148586564996,-1,163,-1,-1,-1,14.883148586564996,-1,163,-1
154.84.175.52,12.732084818766943,-1,154,-1,-1,-1,12.732084818766943,-1,154,-1
154.84.175.36,13.33312933600097,-1,143,-1,-1,-1,13.33312933600097,-1,143,-1
154.84.175.60,13.203401955252104,-1,176,-1,-1,-1,13.203401955252104,-1,176,-1
154.84.175.220,14.000762271971665,-1,243,-1,-1,-1,14.000762271971665,-1,243,-1
154.84.175.33,14.325553906454983,-1,207,-1,-1,-1,14.325553906454983,-1,207,-1
154.84.175.227,10.312620117761547,-1,208,-1,-1,-1,10.312620117761547,-1,208,-1
154.84.175.142,11.528948880851772,-1,233,-1,-1,-1,11.528948880851772,-1,233,-1
154.84.175.225,13.954611230924954,-1,225,-1,-1,-1,13.954611230924954,-1,225,-1
154.84.175.114,11.687540443455964,-1,213,-1,-1,-1,11.687540443455964,-1,213,-1
154.84.175.179,13.496496984267342,-1,238,-1,-1,-1,13.496496984267342,-1,238,-1
154.84.175.174,12.123218329953147,-1,301,-1,-1,-1,12.123218329953147,-1,301,-1
154.84.175.224,12.24215403013184,-1,246,-1,-1,-1,12.24215403013184,-1,246,-1
154.84.175.82,11.18867817624455,-1,210,-1,-1,-1,11.18867817624455,-1,210,-1
154.84.175.92,13.268875128060042,-1,258,-1,-1,-1,13.268875128060042,-1,258,-1
154.84.175.111,11.148073477758734,-1,224,-1,-1,-1,11.148073477758734,-1,224,-1
185.238.228.39,11.093517255121204,-1,344,-1,-1,-1,11.093517255121204,-1,344,-1
185.238.228.251,13.480046565843997,-1,359,-1,-1,-1,13.480046565843997,-1,359,-1
185.238.228.65,13.337460388482496,-1,269,-1,-1,-1,13.337460388482496,-1,269,-1
185.238.228.66,12.583496612401943,-1,313,-1,-1,-1,12.583496612401943,-1,313,-1
185.238.228.161,11.342897390592311,-1,380,-1,-1,-1,11.342897390592311,-1,380,-1
185.238.228.203,10.191210679287396,-1,260,-1,-1,-1,10.191210679287396,-1,260,-1
185.238.228.152,13.456557723691708,-1,348,-1,-1,-1,13.456557723691708,-1,348,-1
185.238.228.233,10.218037856141212,-1,355,-1,-1,-1,10.218037856141212,-1,355,-1
185.238.228.252,13.615754257730321,-1,308,-1,-1,-1,13.615754257730321,-1,308,-1
185.238.228.12,11.470278343770648,-1,347,-1,-1,-1,11.470278343770648,-1,347,-1
185.238.228.1,10.38192601117714,-1,274,-1,-1,-1,10.38192601117714,-1,274,-1
185.238.228.100,12.589590674628141,-1,286,-1,-1,-1,12.589590674628141,-1,286,-1
185.238.228.246,12.309751444879794,-1,257,-1,-1,-1,12.309751444879794,-1,257,-1
185.238.228.214,11.202750387680092,-1,338,-1,-1,-1,11.202750387680092,-1,338,-1
