ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
104.19.33.118,10.516119659674175,-1,381.5,-1,147,-1,11.55571483222675,9.4765244871216,-1,-1,455,308,-1,-1
104.17.136.172,12.76856003720256,-1,340,-1,82,-1,12.11367447931127,13.42344559509385,-1,-1,381,299,-1,-1
104.19.182.68,14.139604069974201,-1,332,-1,22,-1,14.220137866221965,14.059070273726439,-1,-1,321,343,-1,-1
104.24.34.120,12.217364269763689,-1,287.5,-1,27,-1,9.728133566292628,14.70659497323475,-1,-1,274,301,-1,-1
172.64.140.110,13.132573673233162,-1,385.5,-1,121,-1,12.534394771620693,13.730752574845631,-1,-1,446,325,-1,-1
104.17.236.173,12.429276936507446,-1,360.5,-1,61,-1,13.49174303662799,11.366810836386902,-1,-1,391,330,-1,-1
104.25.195.174,9.476982740659853,-1,294.5,-1,149,-1,6.790687770297598,12.163277711022106,-1,-1,369,220,-1,-1
104.20.248.44,10.500686828382246,-1,373.5,-1,55,-1,11.712559843361829,9.288813813402665,-1,-1,401,346,-1,-1
104.18.219.239,11.251609456423397,-1,322,-1,2,-1,6.5904416190696375,15.912777293777156,-1,-1,323,321,-1,-1
162.159.36.231,10.954863528629367,-1,329,-1,36,-1,10.705146243392157,11.204580813866578,-1,-1,347,311,-1,-1
