ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.131,0.0,-1,178,-1,-1,-1,0.0,-1,178,-1
154.84.175.129,0.0,-1,195,-1,-1,-1,0.0,-1,195,-1
185.238.228.86,0.0,-1,180,-1,-1,-1,0.0,-1,180,-1
185.176.26.172,0.0,-1,182,-1,-1,-1,0.0,-1,182,-1
203.22.223.203,0.0,-1,176,-1,-1,-1,0.0,-1,176,-1
199.212.90.4,0.0,-1,188,-1,-1,-1,0.0,-1,188,-1
203.34.28.235,0.0,-1,141,-1,-1,-1,0.0,-1,141,-1
170.114.46.53,0.0,-1,129,-1,-1,-1,0.0,-1,129,-1
195.85.23.147,0.0,-1,135,-1,-1,-1,0.0,-1,135,-1
203.55.107.194,0.0,-1,132,-1,-1,-1,0.0,-1,132,-1
198.41.200.15,0.0,-1,264,-1,-1,-1,0.0,-1,264,-1
154.85.99.52,0.0,-1,143,-1,-1,-1,0.0,-1,143,-1
203.29.53.67,0.0,-1,132,-1,-1,-1,0.0,-1,132,-1
170.114.45.206,0.0,-1,126,-1,-1,-1,0.0,-1,126,-1
103.160.204.95,0.0,-1,132,-1,-1,-1,0.0,-1,132,-1
147.78.140.207,0.0,-1,132,-1,-1,-1,0.0,-1,132,-1
195.245.221.76,0.0,-1,126,-1,-1,-1,0.0,-1,126,-1
162.251.82.161,0.0,-1,201,-1,-1,-1,0.0,-1,201,-1
194.152.44.251,0.0,-1,154,-1,-1,-1,0.0,-1,154,-1
195.85.59.111,0.0,-1,122,-1,-1,-1,0.0,-1,122,-1
45.94.169.93,0.0,-1,138,-1,-1,-1,0.0,-1,138,-1
45.14.174.60,0.0,-1,146,-1,-1,-1,0.0,-1,146,-1
147.185.161.66,0.0,-1,135,-1,-1,-1,0.0,-1,135,-1
203.13.32.244,0.0,-1,166,-1,-1,-1,0.0,-1,166,-1
193.227.99.69,0.0,-1,131,-1,-1,-1,0.0,-1,131,-1
45.159.216.20,0.0,-1,150,-1,-1,-1,0.0,-1,150,-1
185.174.138.54,0.0,-1,142,-1,-1,-1,0.0,-1,142,-1
168.100.6.132,0.0,-1,130,-1,-1,-1,0.0,-1,130,-1
45.80.111.242,0.0,-1,156,-1,-1,-1,0.0,-1,156,-1
45.133.247.175,0.0,-1,144,-1,-1,-1,0.0,-1,144,-1
