ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
104.25.112.33,13.086834488262323,-1,479.5,-1,585,-1,11.412213813603033,14.76145516292161,-1,-1,772,187,-1,-1
104.24.14.84,11.821452477474683,-1,204.5,-1,39,-1,13.216615420280416,10.42628953466895,-1,-1,224,185,-1,-1
172.67.152.202,13.84884669223709,-1,773.5,-1,965,-1,10.927350710501106,16.770342673973076,-1,-1,1256,291,-1,-1
104.16.222.237,13.01220946651587,-1,276,-1,90,-1,15.262366762743557,10.762052170288182,-1,-1,321,231,-1,-1
172.64.200.150,12.119090750978966,-1,354,-1,116,-1,11.050677565289664,13.187503936668266,-1,-1,412,296,-1,-1
104.19.58.223,10.601611801920106,-1,239,-1,22,-1,14.576850696307266,6.626372907532945,-1,-1,228,250,-1,-1
104.24.71.167,11.410687748631249,-1,305,-1,54,-1,12.148414630383304,10.672960866879194,-1,-1,332,278,-1,-1
104.18.89.105,14.348920228591528,-1,258,-1,74,-1,13.881866977841788,14.815973479341269,-1,-1,295,221,-1,-1
104.19.61.115,15.460745868339938,-1,254.5,-1,21,-1,16.690643470043593,14.230848266636283,-1,-1,265,244,-1,-1
104.19.90.38,12.701159497733375,-1,284.5,-1,151,-1,14.141174562429711,11.26114443303704,-1,-1,209,360,-1,-1
104.20.54.127,14.376865927922912,-1,258.5,-1,155,-1,14.631033856515048,14.122697999330777,-1,-1,336,181,-1,-1
104.22.9.205,13.292727598518558,-1,588,-1,614,-1,13.765141461512233,12.820313735524884,-1,-1,895,281,-1,-1
