ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
104.23.103.97,14.408387221136866,-1,242.5,-1,107,-1,15.052481795539832,13.764292646733901,-1,-1,296,189,-1,-1
104.24.83.97,14.067955477547105,-1,318.5,-1,97,-1,13.701032041004298,14.43487891408991,-1,-1,270,367,-1,-1
104.16.158.101,13.34474840264926,-1,245,-1,130,-1,12.766425322945183,13.923071482353338,-1,-1,310,180,-1,-1
104.16.10.13,12.397941883502954,-1,427.5,-1,267,-1,11.787708208743801,13.008175558262106,-1,-1,561,294,-1,-1
172.67.220.11,13.112246689104985,-1,656.5,-1,617,-1,13.169053779287937,13.055439598922035,-1,-1,965,348,-1,-1
104.24.200.92,13.648995209340912,-1,356.5,-1,27,-1,14.95652064694728,12.341469771734545,-1,-1,370,343,-1,-1
104.24.34.211,13.155835194256731,-1,269,-1,98,-1,11.864288087907768,14.447382300605693,-1,-1,318,220,-1,-1
104.17.148.171,12.711597785649822,-1,345,-1,278,-1,13.740344554945507,11.682851016354137,-1,-1,484,206,-1,-1
104.19.97.235,13.063288702351619,-1,266,-1,8,-1,14.878198420272692,11.248378984430545,-1,-1,270,262,-1,-1
172.67.68.121,10.442721044815972,-1,358,-1,264,-1,12.268273588388205,8.61716850124374,-1,-1,490,226,-1,-1
162.159.34.254,9.502005328164557,-1,473,-1,296,-1,8.181378460690508,10.822632195638606,-1,-1,621,325,-1,-1
104.17.127.179,12.718315605429513,-1,193,-1,26,-1,11.73542857829269,13.701202632566334,-1,-1,206,180,-1,-1
104.24.15.146,12.788916686489962,-1,305.5,-1,57,-1,12.758758385071143,12.819074987908781,-1,-1,334,277,-1,-1
172.67.194.66,12.775559820889669,-1,380.5,-1,103,-1,14.206303586608296,11.344816055171043,-1,-1,432,329,-1,-1
104.25.133.192,11.415250248427718,-1,315.5,-1,75,-1,9.932727744604467,12.897772752250967,-1,-1,353,278,-1,-1
104.16.219.35,13.360231250722794,-1,287.5,-1,23,-1,12.903320083574958,13.817142417870633,-1,-1,299,276,-1,-1
104.19.101.183,11.983143248080047,-1,276,-1,20,-1,11.788423324639629,12.177863171520464,-1,-1,266,286,-1,-1
104.16.95.49,11.713003749081198,-1,318,-1,32,-1,8.579479125342846,14.846528372819549,-1,-1,334,302,-1,-1
104.20.58.240,12.564299981559245,-1,400.5,-1,215,-1,11.558166043374762,13.57043391974373,-1,-1,508,293,-1,-1
104.17.119.30,12.388838099150412,-1,265,-1,140,-1,13.51071278133829,11.266963416962533,-1,-1,335,195,-1,-1
104.20.135.245,15.707364553853148,-1,280,-1,88,-1,16.21557208664652,15.199157021059776,-1,-1,324,236,-1,-1
104.25.240.232,13.549821664088629,-1,275,-1,22,-1,14.65738822302946,12.4422551051478,-1,-1,264,286,-1,-1
162.159.255.214,10.53401581287569,-1,344.5,-1,175,-1,7.545547589137518,13.522484036613863,-1,-1,432,257,-1,-1
104.27.16.36,12.57437766438402,-1,394.5,-1,311,-1,10.822599839641304,14.326155489126736,-1,-1,550,239,-1,-1
104.21.88.242,14.084005891558036,-1,378,-1,380,-1,13.835372178638918,14.332639604477155,-1,-1,568,188,-1,-1
104.17.245.94,11.365720219437772,-1,516.5,-1,379,-1,11.185325434132652,11.546115004742894,-1,-1,706,327,-1,-1
104.19.6.243,12.042318575365412,-1,320,-1,76,-1,11.349465492152612,12.735171658578212,-1,-1,358,282,-1,-1
104.21.110.203,12.532434625733616,-1,360,-1,272,-1,13.367406407524554,11.697462843942679,-1,-1,496,224,-1,-1
