ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.112,0.0,-1,180,-1,-1,-1,0.0,-1,180,-1
154.84.175.90,0.0,-1,153,-1,-1,-1,0.0,-1,153,-1
185.238.228.24,0.0,-1,161,-1,-1,-1,0.0,-1,161,-1
185.176.26.30,0.0,-1,150,-1,-1,-1,0.0,-1,150,-1
203.22.223.97,0.0,-1,150,-1,-1,-1,0.0,-1,150,-1
199.212.90.175,0.0,-1,146,-1,-1,-1,0.0,-1,146,-1
203.34.28.124,0.0,-1,138,-1,-1,-1,0.0,-1,138,-1
170.114.46.71,0.0,-1,141,-1,-1,-1,0.0,-1,141,-1
195.85.23.114,0.0,-1,136,-1,-1,-1,0.0,-1,136,-1
203.55.107.87,0.0,-1,139,-1,-1,-1,0.0,-1,139,-1
154.85.99.133,0.0,-1,125,-1,-1,-1,0.0,-1,125,-1
203.29.55.209,0.0,-1,138,-1,-1,-1,0.0,-1,138,-1
170.114.45.4,0.0,-1,150,-1,-1,-1,0.0,-1,150,-1
103.160.204.1,0.0,-1,140,-1,-1,-1,0.0,-1,140,-1
147.78.140.207,0.0,-1,135,-1,-1,-1,0.0,-1,135,-1
195.245.221.123,0.0,-1,135,-1,-1,-1,0.0,-1,135,-1
162.251.82.39,0.0,-1,213,-1,-1,-1,0.0,-1,213,-1
194.152.44.87,0.0,-1,134,-1,-1,-1,0.0,-1,134,-1
195.85.59.146,0.0,-1,136,-1,-1,-1,0.0,-1,136,-1
45.94.169.187,0.0,-1,133,-1,-1,-1,0.0,-1,133,-1
45.14.174.254,0.0,-1,140,-1,-1,-1,0.0,-1,140,-1
147.185.161.246,0.0,-1,146,-1,-1,-1,0.0,-1,146,-1
203.13.32.10,0.0,-1,128,-1,-1,-1,0.0,-1,128,-1
193.227.99.5,0.0,-1,149,-1,-1,-1,0.0,-1,149,-1
45.159.218.43,0.0,-1,143,-1,-1,-1,0.0,-1,143,-1
185.174.138.80,0.0,-1,155,-1,-1,-1,0.0,-1,155,-1
168.100.6.203,0.0,-1,144,-1,-1,-1,0.0,-1,144,-1
45.80.111.1,0.0,-1,163,-1,-1,-1,0.0,-1,163,-1
45.133.247.167,0.0,-1,178,-1,-1,-1,0.0,-1,178,-1
89.116.250.122,0.0,-1,148,-1,-1,-1,0.0,-1,148,-1
203.28.8.18,0.0,-1,132,-1,-1,-1,0.0,-1,132,-1
203.24.102.238,0.0,-1,138,-1,-1,-1,0.0,-1,138,-1
104.234.158.107,0.0,-1,134,-1,-1,-1,0.0,-1,134,-1
45.85.119.150,0.0,-1,163,-1,-1,-1,0.0,-1,163,-1
185.201.139.137,0.0,-1,141,-1,-1,-1,0.0,-1,141,-1
108.165.216.174,0.0,-1,140,-1,-1,-1,0.0,-1,140,-1
31.43.179.209,0.0,-1,142,-1,-1,-1,0.0,-1,142,-1
185.193.31.241,0.0,-1,149,-1,-1,-1,0.0,-1,149,-1
185.135.9.236,0.0,-1,137,-1,-1,-1,0.0,-1,137,-1
203.23.103.138,0.0,-1,148,-1,-1,-1,0.0,-1,148,-1
188.42.88.148,0.0,-1,141,-1,-1,-1,0.0,-1,141,-1
203.17.126.143,0.0,-1,129,-1,-1,-1,0.0,-1,129,-1
23.227.60.162,0.0,-1,138,-1,-1,-1,0.0,-1,138,-1
185.72.49.193,0.0,-1,154,-1,-1,-1,0.0,-1,154,-1
159.246.55.242,0.0,-1,130,-1,-1,-1,0.0,-1,130,-1
185.162.229.181,0.0,-1,146,-1,-1,-1,0.0,-1,146,-1
185.176.24.172,0.0,-1,149,-1,-1,-1,0.0,-1,149,-1
195.137.167.177,0.0,-1,143,-1,-1,-1,0.0,-1,143,-1
194.36.55.73,0.0,-1,127,-1,-1,-1,0.0,-1,127,-1
