ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
104.24.246.248,11.80597443556927,-1,471.5,-1,357,-1,12.584721723586247,11.027227147552294,-1,-1,650,293,-1,-1
104.18.42.126,10.371942275727825,-1,259.5,-1,57,-1,11.879252447765905,8.864632103689743,-1,-1,231,288,-1,-1
108.162.196.30,12.398237758690557,-1,275,-1,88,-1,13.65008701549632,11.146388501884795,-1,-1,319,231,-1,-1
104.20.156.201,12.65802569451719,-1,411,-1,244,-1,12.401830789501304,12.914220599533078,-1,-1,533,289,-1,-1
172.67.183.216,11.352667208673996,-1,446.5,-1,287,-1,11.123392263205664,11.581942154142325,-1,-1,590,303,-1,-1
104.20.162.204,11.344752715214472,-1,249.5,-1,147,-1,8.840103207444313,13.849402222984631,-1,-1,323,176,-1,-1
172.67.55.113,12.42028260072063,-1,435,-1,50,-1,11.951105338502511,12.88945986293875,-1,-1,460,410,-1,-1
