ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
104.22.1.61,9.853526725560982,-1,301.5,-1,47,-1,9.08401814036414,10.623035310757825,-1,-1,325,278,-1,-1
104.17.251.123,12.966014458527109,-1,236.5,-1,123,-1,12.053523368346603,13.878505548707613,-1,-1,298,175,-1,-1
104.18.16.132,11.5862826888983,-1,357,-1,38,-1,14.93739857781215,8.23516679998445,-1,-1,338,376,-1,-1
104.17.47.159,12.858844343247952,-1,198.5,-1,9,-1,11.858922404714034,13.858766281781868,-1,-1,194,203,-1,-1
104.17.22.4,14.676148328263723,-1,221.5,-1,103,-1,14.817430365419883,14.534866291107564,-1,-1,273,170,-1,-1
104.24.12.27,13.21376599907174,-1,350,-1,112,-1,11.44894351474336,14.97858848340012,-1,-1,406,294,-1,-1
104.17.16.92,13.268759817851503,-1,295.5,-1,29,-1,13.776428507486932,12.761091128216073,-1,-1,281,310,-1,-1
104.19.33.193,14.026998761230896,-1,273,-1,18,-1,15.319251379599274,12.734746142862516,-1,-1,282,264,-1,-1
172.66.44.207,12.63127543867902,-1,462,-1,380,-1,12.749121622498087,12.513429254859954,-1,-1,652,272,-1,-1
104.20.8.83,15.288823984397485,-1,308.5,-1,125,-1,14.936515607981326,15.641132360813646,-1,-1,371,246,-1,-1
104.20.136.61,14.50087223976714,-1,353,-1,170,-1,13.273892621682394,15.727851857851887,-1,-1,438,268,-1,-1
104.24.21.167,13.63142121610927,-1,512,-1,654,-1,12.51916096707167,14.74368146514687,-1,-1,839,185,-1,-1
104.25.187.90,13.6020287635458,-1,362.5,-1,73,-1,12.505780992841851,14.698276534249747,-1,-1,326,399,-1,-1
104.19.180.202,14.21327159116262,-1,511.5,-1,617,-1,14.472742958067688,13.95380022425755,-1,-1,820,203,-1,-1
104.25.135.78,13.762853006135163,-1,297.5,-1,211,-1,12.708367586089414,14.817338426180914,-1,-1,403,192,-1,-1
104.17.23.196,13.675481324859888,-1,390,-1,202,-1,13.484296777994416,13.86666587172536,-1,-1,491,289,-1,-1
104.27.90.181,13.668272753384144,-1,376,-1,342,-1,14.467245666438226,12.869299840330061,-1,-1,547,205,-1,-1
104.24.214.222,10.89330682110602,-1,268,-1,10,-1,10.639747254775028,11.146866387437013,-1,-1,273,263,-1,-1
104.16.250.234,14.120560831594341,-1,375.5,-1,233,-1,14.604569595125696,13.636552068062986,-1,-1,492,259,-1,-1
