ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.238,0.0,-1,186,-1,-1,-1,0.0,-1,186,-1
185.18.250.173,0.0,-1,170,-1,-1,-1,0.0,-1,170,-1
185.18.250.30,0.0,-1,182,-1,-1,-1,0.0,-1,182,-1
185.18.250.47,0.0,-1,171,-1,-1,-1,0.0,-1,171,-1
185.18.250.244,0.0,-1,175,-1,-1,-1,0.0,-1,175,-1
185.18.250.143,0.0,-1,196,-1,-1,-1,0.0,-1,196,-1
185.18.250.106,0.0,-1,170,-1,-1,-1,0.0,-1,170,-1
185.18.250.188,0.0,-1,182,-1,-1,-1,0.0,-1,182,-1
185.18.250.231,0.0,-1,201,-1,-1,-1,0.0,-1,201,-1
185.18.250.89,0.0,-1,200,-1,-1,-1,0.0,-1,200,-1
185.18.250.194,0.0,-1,175,-1,-1,-1,0.0,-1,175,-1
185.18.250.33,0.0,-1,201,-1,-1,-1,0.0,-1,201,-1
185.18.250.78,0.0,-1,166,-1,-1,-1,0.0,-1,166,-1
185.18.250.236,0.0,-1,182,-1,-1,-1,0.0,-1,182,-1
185.18.250.111,0.0,-1,162,-1,-1,-1,0.0,-1,162,-1
185.18.250.168,0.0,-1,172,-1,-1,-1,0.0,-1,172,-1
185.18.250.229,0.0,-1,153,-1,-1,-1,0.0,-1,153,-1
185.18.250.42,0.0,-1,162,-1,-1,-1,0.0,-1,162,-1
185.18.250.71,0.0,-1,151,-1,-1,-1,0.0,-1,151,-1
185.18.250.117,0.0,-1,179,-1,-1,-1,0.0,-1,179,-1
185.18.250.126,0.0,-1,172,-1,-1,-1,0.0,-1,172,-1
185.18.250.218,0.0,-1,182,-1,-1,-1,0.0,-1,182,-1
185.18.250.170,0.0,-1,178,-1,-1,-1,0.0,-1,178,-1
185.18.250.195,0.0,-1,161,-1,-1,-1,0.0,-1,161,-1
185.18.250.86,0.0,-1,195,-1,-1,-1,0.0,-1,195,-1
185.18.250.127,0.0,-1,191,-1,-1,-1,0.0,-1,191,-1
185.18.250.4,0.0,-1,195,-1,-1,-1,0.0,-1,195,-1
185.18.250.124,0.0,-1,167,-1,-1,-1,0.0,-1,167,-1
185.18.250.101,0.0,-1,177,-1,-1,-1,0.0,-1,177,-1
185.18.250.63,0.0,-1,174,-1,-1,-1,0.0,-1,174,-1
185.18.250.252,0.0,-1,175,-1,-1,-1,0.0,-1,175,-1
185.18.250.68,0.0,-1,156,-1,-1,-1,0.0,-1,156,-1
185.18.250.98,0.0,-1,168,-1,-1,-1,0.0,-1,168,-1
185.18.250.62,0.0,-1,165,-1,-1,-1,0.0,-1,165,-1
185.18.250.214,0.0,-1,178,-1,-1,-1,0.0,-1,178,-1
185.18.250.177,0.0,-1,170,-1,-1,-1,0.0,-1,170,-1
185.18.250.67,0.0,-1,174,-1,-1,-1,0.0,-1,174,-1
185.18.250.23,0.0,-1,164,-1,-1,-1,0.0,-1,164,-1
185.18.250.152,0.0,-1,166,-1,-1,-1,0.0,-1,166,-1
185.18.250.167,0.0,-1,191,-1,-1,-1,0.0,-1,191,-1
185.18.250.27,0.0,-1,167,-1,-1,-1,0.0,-1,167,-1
