ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
185.18.250.0,12.867141067438777,-1,259,-1,2,-1,10.942182506686418,14.792099628191133,-1,-1,260,258,-1,-1
185.18.250.1,9.866434629873517,-1,301.5,-1,101,-1,10.934165036600337,8.798704223146697,-1,-1,352,251,-1,-1
185.18.250.2,14.379414217789389,-1,236,-1,88,-1,14.499358449362505,14.25946998621627,-1,-1,192,280,-1,-1
185.18.250.5,13.407483281303357,-1,244,-1,118,-1,14.613924501991777,12.201042060614936,-1,-1,303,185,-1,-1
185.18.250.8,13.681314136948494,-1,247,-1,128,-1,12.474994458444362,14.887633815452624,-1,-1,311,183,-1,-1
185.18.250.9,9.232393477702276,-1,253,-1,94,-1,6.210343222336415,12.254443733068136,-1,-1,300,206,-1,-1
185.18.250.10,14.066335908664641,-1,329,-1,220,-1,13.681606377304288,14.451065440024994,-1,-1,439,219,-1,-1
185.18.250.13,13.660953527812623,-1,282.5,-1,189,-1,13.708439183754104,13.613467871871144,-1,-1,377,188,-1,-1
185.18.250.14,12.81790338821921,-1,222.5,-1,37,-1,14.45349040247027,11.182316373968149,-1,-1,241,204,-1,-1
185.18.250.15,12.194678511058106,-1,263,-1,102,-1,9.920276073456511,14.4690809486597,-1,-1,314,212,-1,-1
185.18.250.17,10.580989657439353,-1,231,-1,56,-1,11.587602835571566,9.574376479307139,-1,-1,259,203,-1,-1
185.18.250.18,10.151293917913112,-1,186.5,-1,29,-1,12.447045987306117,7.8555418485201045,-1,-1,172,201,-1,-1
185.18.250.19,12.922372581867972,-1,234,-1,104,-1,13.134529315811303,12.710215847924639,-1,-1,286,182,-1,-1
185.18.250.20,14.115614900822292,-1,294.5,-1,219,-1,14.347943879808927,13.883285921835657,-1,-1,404,185,-1,-1
185.18.250.21,14.267284986897739,-1,277,-1,110,-1,12.92937881263627,15.605191161159208,-1,-1,332,222,-1,-1
185.18.250.22,12.454494638922181,-1,310,-1,14,-1,10.52155506218734,14.387434215657022,-1,-1,303,317,-1,-1
185.18.250.23,13.990137639292474,-1,182,-1,10,-1,14.148661756803598,13.831613521781351,-1,-1,177,187,-1,-1
185.18.250.24,10.940449868598307,-1,254,-1,4,-1,11.136093544948215,10.744806192248399,-1,-1,252,256,-1,-1
185.18.250.26,13.90801030391,-1,262,-1,42,-1,14.20847851931427,13.60754208850573,-1,-1,283,241,-1,-1
185.18.250.27,11.819631882573674,-1,225,-1,114,-1,11.800845799400111,11.838417965747238,-1,-1,282,168,-1,-1
185.18.250.29,11.678029984736911,-1,240,-1,162,-1,11.888856843493803,11.467203125980019,-1,-1,321,159,-1,-1
185.18.250.31,14.898092343461188,-1,248,-1,172,-1,14.017218962471668,15.778965724450709,-1,-1,334,162,-1,-1
185.18.250.33,12.816554488265545,-1,237,-1,176,-1,12.002849295657644,13.630259680873449,-1,-1,325,149,-1,-1
185.18.250.34,13.615089957340992,-1,287.5,-1,209,-1,11.90984893424538,15.320330980436601,-1,-1,392,183,-1,-1
185.18.250.35,14.918820864968778,-1,176.5,-1,43,-1,14.504336597300489,15.333305132637067,-1,-1,198,155,-1,-1
185.18.250.36,14.340536254392724,-1,282.5,-1,115,-1,15.321192424921534,13.359880083863915,-1,-1,340,225,-1,-1
185.18.250.38,13.385871879868155,-1,267.5,-1,49,-1,13.507122271856744,13.264621487879564,-1,-1,292,243,-1,-1
185.18.250.42,12.920455598242029,-1,264.5,-1,9,-1,15.566338921529974,10.274572274954082,-1,-1,260,269,-1,-1
