ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,download_speed_2,upload_speed_1,upload_speed_2,download_latency_1,download_latency_2,upload_latency_1,upload_latency_2
104.21.210.187,14.437618673776,-1,323,-1,180,-1,14.7221971985464,14.153040149005601,-1,-1,413,233,-1,-1
104.16.239.0,13.380526369545073,-1,340,-1,30,-1,13.246027002633541,13.515025736456606,-1,-1,355,325,-1,-1
104.27.88.33,12.311215192316885,-1,306,-1,212,-1,12.613185006886281,12.009245377747488,-1,-1,412,200,-1,-1
104.16.161.57,10.160699962207167,-1,264.5,-1,99,-1,10.26718685360541,10.054213070808924,-1,-1,314,215,-1,-1
104.19.168.91,14.45996651959514,-1,280.5,-1,9,-1,13.50947550312533,15.41045753606495,-1,-1,285,276,-1,-1
104.27.105.110,12.684557705557907,-1,462,-1,344,-1,10.781234532912709,14.587880878203107,-1,-1,634,290,-1,-1
104.19.140.146,13.747107985874477,-1,234.5,-1,73,-1,11.481405082397643,16.01281088935131,-1,-1,198,271,-1,-1
104.27.122.143,12.929732843874875,-1,315,-1,86,-1,14.87280083453783,10.98666485321192,-1,-1,358,272,-1,-1
104.25.181.183,10.780041155012853,-1,323,-1,228,-1,12.879160057606336,8.68092225241937,-1,-1,437,209,-1,-1
104.25.104.214,12.24799677101101,-1,195.5,-1,9,-1,15.955656677017394,8.540336865004626,-1,-1,191,200,-1,-1
172.67.3.134,13.095281182150638,-1,271,-1,16,-1,14.543815589392208,11.646746774909067,-1,-1,279,263,-1,-1
104.18.178.40,13.653064975855917,-1,226,-1,60,-1,14.522775514983273,12.783354436728562,-1,-1,256,196,-1,-1
104.16.253.38,10.985917700344629,-1,346.5,-1,85,-1,7.930191711767781,14.041643688921477,-1,-1,304,389,-1,-1
172.67.210.82,14.243346226841535,-1,326,-1,144,-1,14.390480840872584,14.096211612810485,-1,-1,398,254,-1,-1
104.17.6.57,12.847843503454348,-1,346.5,-1,103,-1,12.439568574848227,13.256118432060468,-1,-1,398,295,-1,-1
104.25.5.26,14.302329642104034,-1,375.5,-1,25,-1,14.421751577268921,14.18290770693915,-1,-1,363,388,-1,-1
104.20.238.154,9.790798700411035,-1,265,-1,192,-1,8.23644477306384,11.34515262775823,-1,-1,361,169,-1,-1
104.19.41.91,11.670439287433155,-1,307,-1,156,-1,12.006043962193457,11.334834612672854,-1,-1,385,229,-1,-1
104.20.205.120,12.180041813944843,-1,269.5,-1,51,-1,11.741815558886431,12.618268069003253,-1,-1,295,244,-1,-1
104.21.116.8,12.748686892522294,-1,283.5,-1,1,-1,13.399369668935876,12.098004116108713,-1,-1,283,284,-1,-1
104.20.56.172,15.12242959186037,-1,284.5,-1,25,-1,15.559094169430919,14.685765014289824,-1,-1,297,272,-1,-1
172.64.150.194,10.559766638969272,-1,329.5,-1,111,-1,10.670069991961787,10.449463285976757,-1,-1,274,385,-1,-1
