ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.84,7.32129293630275,-1,333,-1,-1,-1,7.32129293630275,-1,333,-1
185.18.250.56,7.418220631661324,-1,375,-1,-1,-1,7.418220631661324,-1,375,-1
185.18.250.133,6.939081714881588,-1,466,-1,-1,-1,6.939081714881588,-1,466,-1
185.18.250.73,6.588986143973993,-1,407,-1,-1,-1,6.588986143973993,-1,407,-1
185.18.250.158,5.215024862107361,-1,700,-1,-1,-1,5.215024862107361,-1,700,-1
185.18.250.236,6.74705695062692,-1,453,-1,-1,-1,6.74705695062692,-1,453,-1
185.18.250.192,8.567838463525804,-1,384,-1,-1,-1,8.567838463525804,-1,384,-1
185.18.250.180,6.3873586507485935,-1,446,-1,-1,-1,6.3873586507485935,-1,446,-1
185.18.250.48,5.007299860807994,-1,661,-1,-1,-1,5.007299860807994,-1,661,-1
185.18.250.177,7.3704163795107105,-1,467,-1,-1,-1,7.3704163795107105,-1,467,-1
185.18.250.114,6.29003172754667,-1,671,-1,-1,-1,6.29003172754667,-1,671,-1
185.18.250.8,6.703621385097849,-1,453,-1,-1,-1,6.703621385097849,-1,453,-1
185.18.250.143,5.151536503074895,-1,680,-1,-1,-1,5.151536503074895,-1,680,-1
185.18.250.122,7.0642660477430415,-1,433,-1,-1,-1,7.0642660477430415,-1,433,-1
185.18.250.228,7.3170048638194505,-1,372,-1,-1,-1,7.3170048638194505,-1,372,-1
185.18.250.233,7.797166536969538,-1,352,-1,-1,-1,7.797166536969538,-1,352,-1
185.18.250.239,6.960605738360113,-1,322,-1,-1,-1,6.960605738360113,-1,322,-1
185.18.250.145,10.143929553653367,-1,961,-1,-1,-1,10.143929553653367,-1,961,-1
185.18.250.137,5.512691203989631,-1,953,-1,-1,-1,5.512691203989631,-1,953,-1
173.245.59.102,8.087450082988372,-1,439,-1,-1,-1,8.087450082988372,-1,439,-1
103.21.244.49,7.308941816976309,-1,324,-1,-1,-1,7.308941816976309,-1,324,-1
103.21.244.17,10.26672910890772,-1,360,-1,-1,-1,10.26672910890772,-1,360,-1
103.21.244.138,7.028026037189264,-1,349,-1,-1,-1,7.028026037189264,-1,349,-1
103.21.244.40,8.066481276743085,-1,362,-1,-1,-1,8.066481276743085,-1,362,-1
154.84.175.9,6.197866548681166,-1,338,-1,-1,-1,6.197866548681166,-1,338,-1
154.84.175.128,7.535107596865058,-1,377,-1,-1,-1,7.535107596865058,-1,377,-1
154.84.175.176,7.765700054119385,-1,374,-1,-1,-1,7.765700054119385,-1,374,-1
154.84.175.76,7.867254632493597,-1,375,-1,-1,-1,7.867254632493597,-1,375,-1
154.84.175.206,7.009178343812081,-1,341,-1,-1,-1,7.009178343812081,-1,341,-1
154.84.175.198,7.200997093265362,-1,707,-1,-1,-1,7.200997093265362,-1,707,-1
154.84.175.91,8.10016403642209,-1,333,-1,-1,-1,8.10016403642209,-1,333,-1
154.84.175.49,7.337826737143629,-1,700,-1,-1,-1,7.337826737143629,-1,700,-1
154.84.175.243,7.534490543178225,-1,368,-1,-1,-1,7.534490543178225,-1,368,-1
154.84.175.58,4.829732490054022,-1,544,-1,-1,-1,4.829732490054022,-1,544,-1
154.84.175.244,7.872391369960822,-1,318,-1,-1,-1,7.872391369960822,-1,318,-1
154.84.175.15,7.493376066308625,-1,628,-1,-1,-1,7.493376066308625,-1,628,-1
154.84.175.227,7.139273928523487,-1,359,-1,-1,-1,7.139273928523487,-1,359,-1
154.84.175.183,5.156247578982111,-1,567,-1,-1,-1,5.156247578982111,-1,567,-1
154.84.175.172,6.2587235849594025,-1,328,-1,-1,-1,6.2587235849594025,-1,328,-1
