,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-04-25T14:02:54.802-04:00, 0.103E+00,   0.10306, 0.30469E+01
      2,2023-04-25T14:02:54.891-04:00, 0.103E+00,   0.20613, 0.31406E+01
      3,2023-04-25T14:02:54.942-04:00, 0.103E+00,   0.30919, 0.31875E+01
      4,2023-04-25T14:02:55.038-04:00, 0.103E+00,   0.41225, 0.32812E+01
      5,2023-04-25T14:02:55.075-04:00, 0.103E+00,   0.51532, 0.33125E+01
      6,2023-04-25T14:02:55.178-04:00, 0.103E+00,   0.61838, 0.34219E+01
      7,2023-04-25T14:02:55.211-04:00, 0.103E+00,   0.72144, 0.34531E+01
      8,2023-04-25T14:02:55.303-04:00, 0.103E+00,   0.82451, 0.35469E+01
      9,2023-04-25T14:02:55.346-04:00, 0.103E+00,   0.92757, 0.35938E+01
     10,2023-04-25T14:02:55.449-04:00, 0.103E+00,   1.03063, 0.36875E+01
     20,2023-04-25T14:02:56.104-04:00, 0.858E-01,   2.04402, 0.43125E+01
     30,2023-04-25T14:02:56.553-04:00, 0.618E-01,   2.72565, 0.47656E+01
     40,2023-04-25T14:02:57.124-04:00, 0.618E-01,   3.34397, 0.53281E+01
     50,2023-04-25T14:02:57.680-04:00, 0.618E-01,   3.96229, 0.58281E+01
     60,2023-04-25T14:02:58.223-04:00, 0.618E-01,   4.58061, 0.63438E+01
     70,2023-04-25T14:02:58.713-04:00, 0.680E-01,   5.21748, 0.68281E+01
     80,2023-04-25T14:02:59.236-04:00, 0.680E-01,   5.89764, 0.73594E+01
     90,2023-04-25T14:02:59.790-04:00, 0.748E-01,   6.63900, 0.79062E+01
    100,2023-04-25T14:03:00.360-04:00, 0.748E-01,   7.38717, 0.84844E+01
    200,2023-04-25T14:03:05.700-04:00, 0.738E-01,  14.72539, 0.13750E+02
    300,2023-04-25T14:03:11.177-04:00, 0.711E-01,  22.11723, 0.19016E+02
    400,2023-04-25T14:03:17.855-04:00, 0.711E-01,  29.22684, 0.25172E+02
    500,2023-04-25T14:03:23.339-04:00, 0.670E-01,  36.42306, 0.30578E+02
    600,2023-04-25T14:03:28.174-04:00, 0.747E-01,  43.73030, 0.35422E+02
    700,2023-04-25T14:03:33.196-04:00, 0.720E-01,  51.09786, 0.40438E+02
    800,2023-04-25T14:03:38.107-04:00, 0.772E-01,  58.37614, 0.45344E+02
    900,2023-04-25T14:03:43.072-04:00, 0.745E-01,  65.84276, 0.50297E+02
   1000,2023-04-25T14:03:50.001-04:00, 0.758E-01,  73.22592, 0.56859E+02
   1100,2023-04-25T14:03:56.206-04:00, 0.702E-01,  80.63545, 0.62797E+02
   1200,2023-04-25T14:04:01.204-04:00, 0.832E-01,  88.32185, 0.67750E+02
   1300,2023-04-25T14:04:06.232-04:00, 0.734E-01,  95.90227, 0.72734E+02
   1400,2023-04-25T14:04:11.642-04:00, 0.748E-01, 103.41204, 0.78094E+02
   1500,2023-04-25T14:04:17.920-04:00, 0.751E-01, 110.86529, 0.84031E+02
   1600,2023-04-25T14:04:23.941-04:00, 0.683E-01, 118.39356, 0.90016E+02
   1623,2023-04-25T14:04:25.121-04:00, 0.490E-01, 120.00000, 0.91188E+02
