s,kW/m2,kg/m2/s,kW/m2,C,kW/m2,kW/m3,kW/m3,kW/m2,C
Time,"U","burn","con","gas","gauge","hrrpuv","qr","rad","temp"
 0.0000000E+000, 1.6747495E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001,-5.8975049E-005, 0.0000000E+000,-3.4086527E-005,-5.3077502E-005, 2.0000000E+001
 2.0612660E-001, 1.6750241E+000, 1.4466384E-020, 6.9470679E-007, 2.0001352E+001,-8.0384115E-006, 0.0000000E+000,-7.6121056E-006,-7.8199362E-006, 1.9999987E+001
 4.1225320E-001, 1.6750689E+000, 2.8932767E-020, 3.3146137E-005, 2.0052376E+001, 3.5147118E-005, 0.0000000E+000,-1.2950184E-004, 1.4606391E-006, 2.0000114E+001
 6.1837980E-001, 1.6752361E+000, 2.8932772E-020, 5.4033021E-004, 2.0492728E+001, 5.7677725E-004, 0.0000000E+000,-1.2085553E-003, 2.3829313E-005, 2.0002272E+001
 8.2450640E-001, 1.6754033E+000, 2.8932882E-020, 4.3576612E-003, 2.2535912E+001, 4.4641012E-003, 0.0000000E+000,-6.3528868E-003, 2.8906577E-006, 2.0019241E+001
 1.0306330E+000, 1.6765858E+000, 2.8933832E-020, 2.1769212E-002, 2.8861022E+001, 2.2369903E-002, 0.0000000E+000,-2.2935753E-002,-4.6557338E-005, 2.0101142E+001
 1.2367596E+000, 1.6784052E+000, 2.8938924E-020, 7.2863442E-002, 4.2820923E+001, 7.4874949E-002, 0.0000000E+000,-5.9593006E-002,-6.3935543E-004, 2.0360979E+001
 1.4428862E+000, 1.6802245E+000, 2.8957688E-020, 1.6130324E-001, 6.2026073E+001, 1.6620361E-001, 0.0000000E+000,-1.1556538E-001,-2.3858468E-003, 2.0888592E+001
 1.6490128E+000, 1.6854820E+000, 2.9006213E-020, 2.3170550E-001, 7.3112927E+001, 2.4078323E-001, 0.0000000E+000,-1.5352543E-001,-4.5539073E-003, 2.1524679E+001
 1.8551394E+000, 1.6890764E+000, 2.9092793E-020, 2.3977398E-001, 7.2102173E+001, 2.5159543E-001, 0.0000000E+000,-1.4949513E-001,-6.9761092E-003, 2.1993826E+001
 2.0440219E+000, 1.6926707E+000, 2.9196991E-020, 2.1014415E-001, 6.5678515E+001, 2.2321058E-001, 0.0000000E+000,-1.2643356E-001,-8.2546579E-003, 2.2204107E+001
 2.2047808E+000, 1.6996285E+000, 2.9301099E-020, 1.8055085E-001, 6.1181108E+001, 1.9459737E-001, 0.0000000E+000,-1.1054472E-001,-8.2197264E-003, 2.2279496E+001
 2.4164920E+000, 1.7040842E+000, 2.9392024E-020, 1.8874413E-001, 6.5419593E+001, 2.0416464E-001, 0.0000000E+000,-1.2443617E-001,-8.2116686E-003, 2.2418041E+001
 2.6019881E+000, 1.7099798E+000, 2.9503210E-020, 2.2113719E-001, 7.0562928E+001, 2.3913856E-001, 0.0000000E+000,-1.4187872E-001,-8.9906090E-003, 2.2731850E+001
 2.8493163E+000, 1.7141581E+000, 2.9620056E-020, 2.3113517E-001, 7.2374101E+001, 2.5093132E-001, 0.0000000E+000,-1.4801462E-001,-1.0270571E-002, 2.3020966E+001
 3.0348124E+000, 1.7175113E+000, 2.9748329E-020, 2.2875634E-001, 7.1810365E+001, 2.4978659E-001, 0.0000000E+000,-1.4563825E-001,-1.1449766E-002, 2.3253862E+001
 3.2203085E+000, 1.7204330E+000, 2.9879371E-020, 2.1426038E-001, 6.9333268E+001, 2.3604281E-001, 0.0000000E+000,-1.3647142E-001,-1.2150882E-002, 2.3403172E+001
 3.4058046E+000, 1.7225130E+000, 2.9979933E-020, 2.0055730E-001, 6.7048538E+001, 2.2264263E-001, 0.0000000E+000,-1.2821934E-001,-1.2443905E-002, 2.3474913E+001
 3.6531327E+000, 1.7243897E+000, 3.0109318E-020, 1.9923061E-001, 6.7510940E+001, 2.2194290E-001, 0.0000000E+000,-1.2965446E-001,-1.3014611E-002, 2.3603540E+001
 3.8386288E+000, 1.7254796E+000, 3.0241759E-020, 2.1130341E-001, 6.9802592E+001, 2.3511337E-001, 0.0000000E+000,-1.3763931E-001,-1.3952294E-002, 2.3800115E+001
 4.0241249E+000, 1.7267073E+000, 3.0347316E-020, 2.1869869E-001, 7.1333316E+001, 2.4342993E-001, 0.0000000E+000,-1.4301313E-001,-1.4750942E-002, 2.3963215E+001
 4.2096210E+000, 1.7280750E+000, 3.0490284E-020, 2.2033749E-001, 7.1524039E+001, 2.4607849E-001, 0.0000000E+000,-1.4356909E-001,-1.5683133E-002, 2.4150466E+001
 4.4569492E+000, 1.7299865E+000, 3.0638850E-020, 2.1181743E-001, 6.9975177E+001, 2.3822487E-001, 0.0000000E+000,-1.3781823E-001,-1.6315193E-002, 2.4285154E+001
 4.6424453E+000, 1.7316855E+000, 3.0784374E-020, 2.0177090E-001, 6.8344430E+001, 2.2858135E-001, 0.0000000E+000,-1.3186356E-001,-1.6788704E-002, 2.4385029E+001
 4.8279414E+000, 1.7328400E+000, 3.0923859E-020, 1.9909821E-001, 6.8251285E+001, 2.2637270E-001, 0.0000000E+000,-1.3142277E-001,-1.7277900E-002, 2.4487940E+001
 5.0134375E+000, 1.7338847E+000, 3.1035370E-020, 2.0375353E-001, 6.9452228E+001, 2.3165274E-001, 0.0000000E+000,-1.3557118E-001,-1.7783062E-002, 2.4597528E+001
 5.2174832E+000, 1.7348627E+000, 3.1184476E-020, 2.1262283E-001, 7.1044888E+001, 2.4155870E-001, 0.0000000E+000,-1.4117797E-001,-1.8604547E-002, 2.4773183E+001
 5.4215289E+000, 1.7361062E+000, 3.1321730E-020, 2.1597027E-001, 7.1661641E+001, 2.4574760E-001, 0.0000000E+000,-1.4328440E-001,-1.9307874E-002, 2.4921076E+001
 5.6255746E+000, 1.7374075E+000, 3.1506456E-020, 2.1184544E-001, 7.0962676E+001, 2.4234679E-001, 0.0000000E+000,-1.4063271E-001,-2.0081960E-002, 2.5071566E+001
 5.8296204E+000, 1.7388449E+000, 3.1654865E-020, 2.0660825E-001, 7.0106504E+001, 2.3755815E-001, 0.0000000E+000,-1.3741832E-001,-2.0536116E-002, 2.5167501E+001
 6.0404676E+000, 1.7402260E+000, 3.1839479E-020, 2.0540809E-001, 7.0220490E+001, 2.3700778E-001, 0.0000000E+000,-1.3769194E-001,-2.1111125E-002, 2.5293889E+001
 6.2649179E+000, 1.7415354E+000, 3.1987982E-020, 2.1010701E-001, 7.1427810E+001, 2.4250245E-001, 0.0000000E+000,-1.4191098E-001,-2.1647573E-002, 2.5421765E+001
 6.4145514E+000, 1.7425855E+000, 3.2155521E-020, 2.1600305E-001, 7.2454985E+001, 2.4929342E-001, 0.0000000E+000,-1.4553895E-001,-2.2347510E-002, 2.5571768E+001
