Tag;Padre;Agrupador;Elementos;Omitir
dVerFor;rDE;0;1;0
DE;rDE;1;1;0
Id;DE;0;1;0
dDVId;DE;0;1;0
dFecFirma;DE;0;1;0
dSisFact;DE;0;1;0
gOpeDE;DE;1;1;0
iTipEmi;gOpeDE;0;1;0
dDesTipEmi;gOpeDE;0;1;0
dCodSeg;gOpeDE;0;1;0
dInfoEmi;gOpeDE;0;1;0
dInfoFisc;gOpeDE;0;1;0
gTimb;DE;1;1;0
iTiDE;gTimb;0;1;0
dDesTiDE;gTimb;0;1;0
dNumTim;gTimb;0;1;0
dEst;gTimb;0;1;0
dPunExp;gTimb;0;1;0
dNumDoc;gTimb;0;1;0
dSerieNum;gTimb;0;1;0
dFeIniT;gTimb;0;1;0
dFeFinT;gTimb;0;1;0
gDatGralOpe;DE;1;1;0
dFeEmiDE;gDatGralOpe;0;1;0
gOpeCom;gDatGralOpe;1;1;0
iTipTra;gOpeCom;0;1;0
dDesTipTra;gOpeCom;0;1;0
iTImp;gOpeCom;0;1;0
dDesTImp;gOpeCom;0;1;0
cMoneOpe;gOpeCom;0;1;0
dDesMoneOpe;gOpeCom;0;1;0
dCondTiCam;gOpeCom;0;1;0
dTiCam;gOpeCom;0;1;0
iCondAnt;gOpeCom;0;1;0
dDesCondAnt;gOpeCom;0;1;0
gEmis;gDatGralOpe;1;1;0
dRucEm;gEmis;0;1;0
dDVEmi;gEmis;0;1;0
iTipCont;gEmis;0;1;0
cTipReg;gEmis;0;1;0
dNomEmi;gEmis;0;1;0
dNomFanEmi;gEmis;0;1;0
dDirEmi;gEmis;0;1;0
dNumCas;gEmis;0;1;0
dCompDir1;gEmis;0;1;0
dCompDir2;gEmis;0;1;0
cDepEmi;gEmis;0;1;0
dDesDepEmi;gEmis;0;1;0
cDisEmi;gEmis;0;1;0
dDesDisEmi;gEmis;0;1;0
cCiuEmi;gEmis;0;1;0
dDesCiuEmi;gEmis;0;1;0
dTelEmi;gEmis;0;1;0
dEmailE;gEmis;0;1;0
dDenSuc;gEmis;0;1;0
gActEco;gEmis;1;actividades;0
cActEco;gActEco;0;1;1
dDesActEco;gActEco;0;1;1
gDatRec;gDatGralOpe;1;1;0
iNatRec;gDatRec;0;1;0
iTiOpe;gDatRec;0;1;0
cPaisRec;gDatRec;0;1;0
dDesPaisRe;gDatRec;0;1;0
iTiContRec;gDatRec;0;1;0
dRucRec;gDatRec;0;1;0
dDVRec;gDatRec;0;1;0
iTipIDRec;gDatRec;0;1;0
dDTipIDRec;gDatRec;0;1;0
dNumIDRec;gDatRec;0;1;0
dNomRec;gDatRec;0;1;0
dNomFanRec;gDatRec;0;1;0
dDirRec;gDatRec;0;1;0
dNumCasRec;gDatRec;0;1;0
cDepRec;gDatRec;0;1;0
dDesDepRec;gDatRec;0;1;0
cDisRec;gDatRec;0;1;0
dDesDisRec;gDatRec;0;1;0
cCiuRec;gDatRec;0;1;0
dDesCiuRec;gDatRec;0;1;0
dTelRec;gDatRec;0;1;0
dCelRec;gDatRec;0;1;0
dEmailRec;gDatRec;0;1;0
dCodCliente;gDatRec;0;1;0
gDtipDE;DE;1;1;0
gCamFE;gDtipDE;1;1;0
iIndPres;gCamFE;0;1;0
dDesIndPres;gCamFE;0;1;0
dFecEmNR;gCamFE;0;1;0
gCompPub;gCamFE;1;compra_publica;0
dModCont;gCompPub;0;1;0
dEntCont;gCompPub;0;1;0
dAnoCont;gCompPub;0;1;0
dSecCont;gCompPub;0;1;0
dFeCodCont;gCompPub;0;1;0
gCamAE;gDtipDE;1;autofactura;0
iNatVen;gCamAE;0;1;1
dDesNatVen;gCamAE;0;1;1
iTipIDVen;gCamAE;0;1;1
dDTipIDVen;gCamAE;0;1;1
dNumIDVen;gCamAE;0;1;1
dNomVen;gCamAE;0;1;1
dDirVen;gCamAE;0;1;1
dNumCasVen;gCamAE;0;1;1
cDepVen;gCamAE;0;1;1
dDesDepVen;gCamAE;0;1;1
cDisVen;gCamAE;0;1;1
dDesDisVen;gCamAE;0;1;1
cCiuVen;gCamAE;0;1;1
dDesCiuVen;gCamAE;0;1;1
dDirProv ;gCamAE ;0;1;1
cDepProv ;gCamAE ;0;1;1
dDesDepProv ;gCamAE ;0;1;1
cDisProv ;gCamAE ;0;1;1
dDesDisProv ;gCamAE ;0;1;1
cCiuProv ;gCamAE ;0;1;1
dDesCiuProv ;gCamAE ;0;1;1
gCamNCDE;gDtipDE;1;1;0
iMotEmi;gCamNCDE;0;1;0
dDesMotEmi;gCamNCDE;0;1;0
gCamNRE;gDtipDE;1;nota_remision;0
iMotEmiNR;gCamNRE;0;1;1
dDesMotEmiNR;gCamNRE;0;1;1
iRespEmiNR;gCamNRE;0;1;1
dDesRespEmiNR;gCamNRE;0;1;1
dKmR;gCamNRE;0;1;1
dFecEm;gCamNRE;0;1;1
cPreFle;gCamNRE;0;1;1
gCamCond;gDtipDE;1;1;0
iCondOpe;gCamCond;0;1;0
dDCondOpe;gCamCond;0;1;0
gPaConEIni;gCamCond;1;medios_pago;0
iTiPago;gPaConEIni;0;1;1
dDesTiPag;gPaConEIni;0;1;1
dMonTiPag;gPaConEIni;0;1;1
cMoneTiPag;gPaConEIni;0;1;1
dDMoneTiPag;gPaConEIni;0;1;1
dTiCamTiPag;gPaConEIni;0;1;1
gPagTarCD;gPaConEIni;1;1;0
iDenTarj;gPagTarCD;0;1;0
dDesDenTarj;gPagTarCD;0;1;0
dRSProTar;gPagTarCD;0;1;0
dRUCProTar;gPagTarCD;0;1;0
dDVProTar;gPagTarCD;0;1;0
iForProPa;gPagTarCD;0;1;0
dCodAuOpe;gPagTarCD;0;1;0
dNomTit;gPagTarCD;0;1;0
dNumTarj;gPagTarCD;0;1;0
gPagCheq;gPaConEIni;1;1;0
dNumCheq;gPagCheq;0;1;0
dBcoEmi;gPagCheq;0;1;0
gPagCred;gCamCond;1;1;0
iCondCred;gPagCred;0;1;0
dDCondCred;gPagCred;0;1;0
dPlazoCre;gPagCred;0;1;0
dCuotas;gPagCred;0;1;0
dMonEnt;gPagCred;0;1;0
gCuotas;gPagCred;1;cuotas;0
cMoneCuo;gCuotas;0;1;1
dDMoneCuo;gCuotas;0;1;1
dMonCuota;gCuotas;0;1;1
dVencCuo;gCuotas;0;1;1
gCamItem;gDtipDE;1;items;0
dCodInt;gCamItem;0;1;1
dParAranc;gCamItem;0;1;1
dNCM;gCamItem;0;1;1
dDncpG;gCamItem;0;1;1
dDncpE;gCamItem;0;1;1
dGtin;gCamItem;0;1;1
dGtinPq;gCamItem;0;1;1
dDesProSer;gCamItem;0;1;1
cUniMed;gCamItem;0;1;1
dDesUniMed;gCamItem;0;1;1
